Name of directory,Link to directory
NOFA-NY Farmer's Pledge Registry,http://nofany.org/dbapplet/fpregistry.html
NOFA-RI Business Members,http://www.nofari.org/markets.php
NOFA-VT Business Sustainer Members,http://nofavt.org/about/sustainer_members
NOFA-VT Find Organic Food,http://nofavt.org/find-organic-food
NY Farms! Restaurants Buying Local,http://www.nyfarms.info/restaurantsindex.html
NY State Rural Electric Cooperatives,http://www.nypa.gov/NYSRECA/
NYC Chefs Why Buy from Greenmarket,http://www.cenyc.org/greenmarket/chefswhobuy
NYC CSA Locator - Just Food,http://www.justfood.org/csaloc
"NYC Fair Trade Coalition ""Where to Buy"" Map",http://maps.google.com/maps/ms?ie=UTF8&hl=en&oe=UTF8&source=embed&msa=0&msid=116730178006985764192.0004595340f301e11d80f&z=11
NYC GreenThumb: Find Your Community Garden,http://www.greenthumbnyc.org/gardensearch.html
NYC Open Accessible Space Information System (OASIS),http://www.oasisnyc.net/garden/gardensearch.aspx
NYC Worker Cooperatives,http://www.nycworker.coop/
Ohio's Employee-Owned Network Companies,http://dept.kent.edu/oeoc/network/NetworkCompanies.htm
Oklahoma Food Connection,http://www.kerrcenter.com/resources/food-connection.htm
Ontario Co-op Association e-Directory,http://www.coopsontario.com/edirectory/
Pennsylvania Certified Organic Directories,http://www.paorganic.org/pao_directory.htm
Pioneer Valley Sustainable Development Inventory,http://www.pvsustain.com/
Regional Farm & Food Project Directory,http://www.farmandfood.org/directory.html
Regional Index of Cooperation,http://find.coop/
SF bay grassroots economy wiki,http://jasecon.wik.is/
Slow Food NYC Snail of Approval Directory,http://www.slowfoodnyc.org/programs/soa
Solidarius,http://www.ifil.org/redesolidaria/
Sonoma County GoLocal Cooperative member business directory,http://sonomacounty.golocal.coop/businesses/index/
State CED Associations,http://www.ncced.org/associations/associations.html
Stronger Together: A Directory of Maine's Cooperative Economy,http://www.cooperativemaine.org/
Sustainability Hub for San Mateo County,http://www.sustainabilityhub.net/
Sustainable Farming Connection,http://www.ibiblio.org/farming-connection/localcon/home.htm
The Vegetarian Homesteader's Guide(tm),http://www.vegetarianhomesteading.com/index.html
Tilth Producers Directory,http://www.tilthproducers.org/directory/tpdirportal.htm
Time Banks Directory,http://www.timebanks.org/directory.htm
Trust for Public Land project sites,http://www.tpl.org/tier3_cd.cfm?content_item_id=20723&folder_id=628
US Solidarity Economy Network Member Organizations,http://populareconomics.org/ussen/civicrm/profile?gid=2&reset=1&force=1&search=0
USFWC Members,http://www.usworker.coop/about/memberlist
Valley Alliance of Worker Cooperatives Members,http://wiki.valleyworker.org/
Veggie Trader,http://www.veggietrader.com/
Vermont Employee-Owned Companies,http://www.veoc.org/vermontcompanies.shtml
Worker Cooperatives in the Bay Area,http://www.nobawc.org/article.php?id=56
"Bay Area Coops, Collective Houses & Cohousing",http://coopnetwork.net/home/housing_coops
Neighboring Food Co-op Association members,http://www.nfca.coop/
Directory of Cooperatives in the UK,http://www.uk.coop/directory/all
PEI Co-operatives and Credit Unions,http://peicc.coop/all_pei_coops.html
Independent Farms in the Intervale,http://www.intervale.org/list_of_farms/index.shtml
Cooperative Development Programs and Centers,http://www.agmrc.org/directories__state_resources/related_directories/cooperative_development_programscenters.cfm
Food Industry MarketMaker,http://national.marketmaker.uiuc.edu/
Community Gardens in Worcester,http://recworcester.org/UGROW/gardens.html
National Credit Union Administration,http://cuonline.ncua.gov/CreditUnionOnline/CU/FindCreditUnions.aspx
Co-op NYC,http://coopnyc.org/map
WREN Member Business Directory,http://www.wrencommunity.org/members/member_directory.php
