Nº Fin.,Desc. Finalidad,Nº Fun.,Desc. Función,Nº Juris.,Desc. Jurisdicción,Nº Prog.,Desc. Programa,Presupuesto,Porcentaje (por Función)
3,Servicios sociales,5,Ciencia y técnica,45,Ministerio de Defensa,16,Conducción y Planificación para la Defensa - Investigación y Desarrollo,4958000,0.1%
3,Servicios sociales,5,Ciencia y técnica,45,Ministerio de Defensa,17,Desarrollo Tecnológico para la Defensa,81614668,1.3%
3,Servicios sociales,5,Ciencia y técnica,45,Ministerio de Defensa,16,Alistamiento Operacional - Estado Mayor General de la Armada - Recuperación Rompehielos Almirante Irizar,82140739,1.3%
3,Servicios sociales,5,Ciencia y técnica,45,Ministerio de Defensa,20,Sostén Logístico Antártico,137686657,2.2%
3,Servicios sociales,5,Ciencia y técnica,45,Ministerio de Defensa,16,Elaboración y Actualización de Cartografía Básica Nacional,45635160,0.7%
3,Servicios sociales,5,Ciencia y técnica,51,Ministerio de Industria,16,Desarrollo y Competitividad Industrial,243320600,3.9%
3,Servicios sociales,5,Ciencia y técnica,52,"Ministerio de Agricultura, Ganadería y Pesca",1,Actividades Centrales del Instituto Nacional de Tecnología Agropecuaria (INTA),238704547,3.8%
3,Servicios sociales,5,Ciencia y técnica,52,"Ministerio de Agricultura, Ganadería y Pesca",16,Investigación Fundamental e Innovaciones Tecnológicas (INTA),155753472,2.5%
3,Servicios sociales,5,Ciencia y técnica,52,"Ministerio de Agricultura, Ganadería y Pesca",17,"Investigación Aplicada, Innovación y Transferencias de Tecnologías (INTA)",837333697,13.4%
3,Servicios sociales,5,Ciencia y técnica,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",25,Ejecución de Obras de Arquitectura,4920000,0.1%
3,Servicios sociales,5,Ciencia y técnica,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",30,Prevención Sísmica,11046451,0.2%
3,Servicios sociales,5,Ciencia y técnica,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",1,Actividades Centrales de la Comisión Nacional de Energía Atómica (CNEA),281967688,4.5%
3,Servicios sociales,5,Ciencia y técnica,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",20,Desarrollos y Suministros para la Energía Nuclear,149810970,2.4%
3,Servicios sociales,5,Ciencia y técnica,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",21,Aplicaciones de la Tecnología Nuclear,88050107,1.4%
3,Servicios sociales,5,Ciencia y técnica,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",22,Acciones para la Seguridad Nuclear y Protección Ambiental,115370816,1.9%
3,Servicios sociales,5,Ciencia y técnica,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",23,Investigación y Aplicaciones no Nucleares,49844618,0.8%
3,Servicios sociales,5,Ciencia y técnica,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",24,Suminitros y Tecnología Ciclo Combustible Nuclear,142314413,2.3%
3,Servicios sociales,5,Ciencia y técnica,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",16,Desarrollo de la Ciencia y Técnica del Agua,56379023,0.9%
3,Servicios sociales,5,Ciencia y técnica,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",1,Actividades Centrales del Servicio Geológico Minero,17444787,0.3%
3,Servicios sociales,5,Ciencia y técnica,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",16,Desarrollo y Aplicación de la Tecnología Minera,14405051,0.2%
3,Servicios sociales,5,Ciencia y técnica,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",19,Producción de Información Geológica de Base,45512562,0.7%
3,Servicios sociales,5,Ciencia y técnica,70,Ministerio de Educación,26,Desarrollo de la Educación Superior,206231300,3.3%
3,Servicios sociales,5,Ciencia y técnica,70,Ministerio de Educación,16,"Investigación de la Flora, Fauna y Gea",35166595,0.6%
3,Servicios sociales,5,Ciencia y técnica,71,"Ministerio de Ciencia, Tecnología e Innovación Productiva",1,Actividades Centrales,162210326,2.6%
3,Servicios sociales,5,Ciencia y técnica,71,"Ministerio de Ciencia, Tecnología e Innovación Productiva",43,Formulación e Implementación de la Política de Ciencia y Tecnología,277072019,4.4%
3,Servicios sociales,5,Ciencia y técnica,71,"Ministerio de Ciencia, Tecnología e Innovación Productiva",44,"Promoción y Financiamiento de Actividades de Ciencia,Tecnología e Innovación",555202546,8.9%
3,Servicios sociales,5,Ciencia y técnica,71,"Ministerio de Ciencia, Tecnología e Innovación Productiva",1,Actividades Centrales del CONICET,83557710,1.3%
3,Servicios sociales,5,Ciencia y técnica,71,"Ministerio de Ciencia, Tecnología e Innovación Productiva",16,Formación de Recursos Humanos y Promoción Científica y Tecnológica,1483773503,23.8%
3,Servicios sociales,5,Ciencia y técnica,71,"Ministerio de Ciencia, Tecnología e Innovación Productiva",17,Exhibición Pública e Investigación en Ciencias Naturales de la República Argentina,7552867,0.1%
3,Servicios sociales,5,Ciencia y técnica,80,Ministerio de Salud,56,"Prevención, Control e Investigación de Patologías en Salud (ANLIS)",182610369,2.9%
3,Servicios sociales,6,Trabajo,75,"Ministerio de Trabajo, Empleo y Seguridad Social",1,Actividades Centrales,179238624,#NAME?
3,Servicios sociales,6,Trabajo,75,"Ministerio de Trabajo, Empleo y Seguridad Social",16,Acciones de Empleo,1768513333,#NAME?
3,Servicios sociales,6,Trabajo,75,"Ministerio de Trabajo, Empleo y Seguridad Social",18,Análisis y Formulación de la Política de Seguridad Social,12578966,#NAME?
3,Servicios sociales,6,Trabajo,75,"Ministerio de Trabajo, Empleo y Seguridad Social",20,Formulación y Regulación de la Política Laboral,137417287,#NAME?
3,Servicios sociales,6,Trabajo,75,"Ministerio de Trabajo, Empleo y Seguridad Social",22,Regularización del Trabajo,73598302,#NAME?
3,Servicios sociales,6,Trabajo,75,"Ministerio de Trabajo, Empleo y Seguridad Social",23,Acciones de Capacitación Laboral,320675975,#NAME?
3,Servicios sociales,6,Trabajo,75,"Ministerio de Trabajo, Empleo y Seguridad Social",24,Sistema Federal de Empleo,74605428,#NAME?
3,Servicios sociales,6,Trabajo,75,"Ministerio de Trabajo, Empleo y Seguridad Social",16,Fiscalización Cumplimiento de la Ley de Riesgos del Trabajo,61086000,#NAME?
3,Servicios sociales,7,Vivienda y urbanismo,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",10,Actividades Comunes a los Programas de Vivienda,34325840,#NAME?
3,Servicios sociales,7,Vivienda y urbanismo,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",42,Acciones para el Desarrollo de la Infraestructura Social,396427500,#NAME?
3,Servicios sociales,7,Vivienda y urbanismo,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",43,"Desarrollo de la Infraestructura Habitacional ""TECHO DIGNO""",2509058396,#NAME?
3,Servicios sociales,7,Vivienda y urbanismo,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",44,Acciones para el Mejoramiento Habitacional e Infraestructura Básica,1093074000,#NAME?
3,Servicios sociales,7,Vivienda y urbanismo,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",45,Fortalecimiento Comunitario del Habitat,512866000,#NAME?
3,Servicios sociales,7,Vivienda y urbanismo,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",46,Urbanización de Villas y Asentamientos Precarios,464966750,#NAME?
3,Servicios sociales,7,Vivienda y urbanismo,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",85,Acciones Hídricas y Viales para el Dessarrollo Integrador de,48884078,#NAME?
3,Servicios sociales,8,Agua potable y alcantarillado,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",19,Recursos Hídricos,84290780,1.9%
3,Servicios sociales,8,Agua potable y alcantarillado,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",85,Acciones Hídricas y Viales para el Dessarrollo Integrador de,549013599,12.5%
3,Servicios sociales,8,Agua potable y alcantarillado,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",90,Atención del Estado de Emergencia por Inundaciones,820000,0.0%
3,Servicios sociales,8,Agua potable y alcantarillado,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",94,Asistencia Financiera a Empresas Públicas y Entes Binacionales,449734000,10.3%
3,Servicios sociales,8,Agua potable y alcantarillado,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",20,Asistencia Técnico - Financiera y Desarrollo de Infraestructura para el Saneamiento,1450378207,33.1%
3,Servicios sociales,8,Agua potable y alcantarillado,91,Obligaciones a Cargo del Tesoro,95,Asistencia Financiera a Empresas Públicas y Ente Binacional,1845300000,42.1%
4,Servicios económicos,1,"Energía, combustibles y minería",20,Presidencia de la Nación,16,Regulación y Fiscalización de las Actividades Nucleares,139384438,0.5%
4,Servicios económicos,1,"Energía, combustibles y minería",56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",1,Actividades Centrales,17436307,0.1%
4,Servicios económicos,1,"Energía, combustibles y minería",56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",5,Actividades Comunes a los Programas de Energía,64340621,0.2%
4,Servicios económicos,1,"Energía, combustibles y minería",56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",19,Recursos Hídricos,43490059,0.2%
4,Servicios económicos,1,"Energía, combustibles y minería",56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",32,Formulación y Ejecución de la Política Geológico-Minera (BID Nº 1865-OC-AR-2),87175627,0.3%
4,Servicios económicos,1,"Energía, combustibles y minería",56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",73,Formulacion y Ejecucion de Politica de Hidrocarburos,748558094,2.9%
4,Servicios económicos,1,"Energía, combustibles y minería",56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",74,Formulación y Ejecución de la Política de Energía Eléctrica,14384447544,54.8%
4,Servicios económicos,1,"Energía, combustibles y minería",56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",75,Acciones para el Uso Racional y Eficiente de la Energía,138363837,0.5%
4,Servicios económicos,1,"Energía, combustibles y minería",56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",77,Acciones para la Ampliación de las Redes Eléctricas de Alta Tensión,2220601719,8.5%
4,Servicios económicos,1,"Energía, combustibles y minería",56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",78,Desarrollo Energético Provincial,854932150,3.3%
4,Servicios económicos,1,"Energía, combustibles y minería",56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",16,Desarrollo y Aplicación de la Tecnología Minera,2000000,0.0%
4,Servicios económicos,1,"Energía, combustibles y minería",56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",16,Regulación del Transporte y Distribución  de Gas,104261023,0.4%
4,Servicios económicos,1,"Energía, combustibles y minería",56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",16,Regulación y Contralor del Mercado Eléctrico,103182000,0.4%
4,Servicios económicos,1,"Energía, combustibles y minería",56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",17,Control de Seguridad de Presas,17919000,0.1%
4,Servicios económicos,1,"Energía, combustibles y minería",91,Obligaciones a Cargo del Tesoro,94,Asistencia Financiera a Sectores Económicos,774000000,3.0%
4,Servicios económicos,1,"Energía, combustibles y minería",91,Obligaciones a Cargo del Tesoro,95,Asistencia Financiera a Empresas Públicas y Ente Binacional,6329840000,24.1%
4,Servicios económicos,1,"Energía, combustibles y minería",91,Obligaciones a Cargo del Tesoro,98,Asistencia Financiera a Provincias y Municipios,200000000,0.8%
4,Servicios económicos,2,Comunicaciones,25,Jefatura de Gabinete de Ministros,1,1-Actividades Centrales de la Autoridad Federal de Servicios de Comunicación Audiovisual,30686971,0.7%
4,Servicios económicos,2,Comunicaciones,25,Jefatura de Gabinete de Ministros,16,Control de los Servicios de Radiodifusión,56802052,1.2%
4,Servicios económicos,2,Comunicaciones,25,Jefatura de Gabinete de Ministros,18,"Enseñanza, Capacitación y Habilitación",3886466,0.1%
4,Servicios económicos,2,Comunicaciones,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",1,Actividades Centrales,71290432,1.5%
4,Servicios económicos,2,Comunicaciones,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",25,Ejecución de Obras de Arquitectura,98945286,2.1%
4,Servicios económicos,2,Comunicaciones,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",58,Asistencia y Coordinación de Políticas de Comunicaciones,23695417,0.5%
4,Servicios económicos,2,Comunicaciones,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",94,Asistencia Financiera a Empresas Públicas y Entes Binacionales,1865799000,40.1%
4,Servicios económicos,2,Comunicaciones,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",1,Actividades Centrales de la Comisión Nacional de Comunicaciones,97789707,2.1%
4,Servicios económicos,2,Comunicaciones,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",16,Control de los Servicios de Telecomunicaciones,78897564,1.7%
4,Servicios económicos,2,Comunicaciones,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",17,Control de los Servicios Postales,7575906,0.2%
4,Servicios económicos,2,Comunicaciones,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",18,Administración del Espectro  Radioeléctrico,30374895,0.7%
4,Servicios económicos,2,Comunicaciones,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",19,"Desarrollo Tecnológico, Infraestructura y Otros Servicios de Comunicaciones",24274797,0.5%
4,Servicios económicos,2,Comunicaciones,91,Obligaciones a Cargo del Tesoro,95,Asistencia Financiera a Empresas Públicas y Ente Binacional,2263537454,48.6%
4,Servicios económicos,3,Transporte,45,Ministerio de Defensa,17,Transporte Aéreo de Fomento (LADE),60975775,0.2%
4,Servicios económicos,3,Transporte,45,Ministerio de Defensa,18,Apoyo a la Actividad Aérea Nacional,275456804,1.0%
4,Servicios económicos,3,Transporte,45,Ministerio de Defensa,23,Servicio Meteorológico Nacional,28043273,0.1%
4,Servicios económicos,3,Transporte,45,Ministerio de Defensa,16,Servicios de Meteorología Nacional,89023000,0.3%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",1,Actividades Centrales,11638065,0.0%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",9,Actividades Comunes a los Programas de Transporte,31371821,0.1%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",16,Hidrovía Paraguay - Paraná,2965240,0.0%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",25,Ejecución de Obras de Arquitectura,20000,0.0%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",50,"Formulación, Programación, Ejecución y Control de Obras Públicas",37856950,0.1%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",60,Formulación y Ejecución de Políticas de Transporte Aerocomercial,2782246786,10.1%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",61,Formulación y Ejecución de Políticas de Transporte Automotor,6271036852,22.7%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",62,Formulación y Ejecución Políticas de Transporte Ferroviario,3408981053,12.3%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",63,Acciones para la Implementación del Sistema Único de Boleto Electrónico (SUBE),174629644,0.6%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",83,Desarrollo de la Infraestructura Vial Productiva,339170000,1.2%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",85,Acciones Hídricas y Viales para el Dessarrollo Integrador de,773854322,2.8%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",86,Apoyo para el Dessarrollo de Infraestructura Urbana en MunicIPIOS,2455193,0.0%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",91,Formulación y Conducción de Políticas Portuarias y de Vías N,298212957,1.1%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",94,Asistencia Financiera a Empresas Públicas y Entes Binacionales,803200000,2.9%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",1,Actividades Centrales de la Dirección Nacional de Vialidad (DNV),180514744,0.7%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",16,Mantenimiento - DNV,1326189581,4.8%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",22,Construcciones - DNV,7243501097,26.2%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",26,Sistema de Contratos de Recuperación y Mantenimiento - DNV,497148000,1.8%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",36,Control de Concesiones Viales - DNV,392578269,1.4%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",37,Infraestructura en Concesiones Viales - DNV,176958611,0.6%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",38,Infraestructura en Áreas Urbanas - DNV,99424197,0.4%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",39,Obras de Mejoras en Corredores Viales Nacionales - DNV,26098192,0.1%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",40,Obras en Corredores Viales - DNV,461851800,1.7%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",37,"Fiscalización, Regulación y Control del Servicio de Transporte",86578000,0.3%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",16,Control del Sistema Nacional de Aeropuertos,80664776,0.3%
4,Servicios económicos,3,Transporte,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",16,"Regulación, Fiscalización  y Administración de la Aviación Civil",264594809,1.0%
4,Servicios económicos,3,Transporte,91,Obligaciones a Cargo del Tesoro,95,Asistencia Financiera a Empresas Públicas y Ente Binacional,1419132000,5.1%
4,Servicios económicos,4,Ecología y medio ambiente,25,Jefatura de Gabinete de Ministros,6,"Actividad Común a los Programas 40, 41, 42 y 43",35997676,2.3%
4,Servicios económicos,4,Ecología y medio ambiente,25,Jefatura de Gabinete de Ministros,38,Programa Integral Cuenca Matanza - Riachuelo,154467825,9.9%
4,Servicios económicos,4,Ecología y medio ambiente,25,Jefatura de Gabinete de Ministros,39,Gestión Ambiental Matanza - Riachuelo BID 1059/OC - AR,154075000,9.9%
4,Servicios económicos,4,Ecología y medio ambiente,25,Jefatura de Gabinete de Ministros,40,Planificación y Política Ambiental,384814813,24.8%
4,Servicios económicos,4,Ecología y medio ambiente,25,Jefatura de Gabinete de Ministros,41,Promoción del Desarrollo Sustentable,26674963,1.7%
4,Servicios económicos,4,Ecología y medio ambiente,25,Jefatura de Gabinete de Ministros,42,Coordinación de Políticas Ambientales,131177000,8.4%
4,Servicios económicos,4,Ecología y medio ambiente,25,Jefatura de Gabinete de Ministros,43,Control Ambiental,40696020,2.6%
4,Servicios económicos,4,Ecología y medio ambiente,25,Jefatura de Gabinete de Ministros,44,Desarrollo Sustentable de la Cuenca Matanza - Riachuelo (BIRF 7706-AC),293675000,18.9%
4,Servicios económicos,4,Ecología y medio ambiente,53,Ministerio de Turismo,1,Actividades Centrales,95324221,6.1%
4,Servicios económicos,4,Ecología y medio ambiente,53,Ministerio de Turismo,17,Conservación y Administración de Áreas Naturales Protegidas,116572441,7.5%
4,Servicios económicos,4,Ecología y medio ambiente,53,Ministerio de Turismo,19,Capacitación,1437830,0.1%
4,Servicios económicos,4,Ecología y medio ambiente,53,Ministerio de Turismo,20,Areas Protegidas y Conservacion de Corredores (BIRF 7520/AR Comp.3),30510000,2.0%
4,Servicios económicos,4,Ecología y medio ambiente,53,Ministerio de Turismo,21,Conservación de la Biodiversidad (GEF TF 094428/AR),1800000,0.1%
4,Servicios económicos,4,Ecología y medio ambiente,53,Ministerio de Turismo,22,Mejora de la Competitividad del Sector Turismo (BID 1648/OC-AR),21084040,1.4%
4,Servicios económicos,4,Ecología y medio ambiente,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",19,Recursos Hídricos,65900000,4.2%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",2,Actividades Comunes a los Programas 36 y 38,730166,0.0%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",36,Formulación de Políticas de los Sectores Agropecuario y Pesquero,412364504,7.8%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",38,Programa Federal de Reconversión Productiva,7525362,0.1%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",40,Formulación de Políticas de Desarrollo Regional,19765884,0.4%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",41,Programa de Servicios Agrícolas Provinciales - PROSAP (BID 899 y 1956 y BIRF 4150 y  7425),121218000,2.3%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",42,Articulación de Relaciones Institucionales y Comunicacionales,24690461,0.5%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",16,Investigación y Desarrollo Pesquero,55157000,1.0%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",16,Administración y Control Comercial Agropecuario,2578468000,49.0%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",40,Promocion del Comercio y Produccion de Semillas,24746800,0.5%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",1,Actividades Centrales del Servicio Nacional de Sanidad y Calidad Agroalimentaria (SENASA),223920821,4.3%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",16,Protección Vegetal,107362364,2.0%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",17,Servicios de Laboratorios,83531738,1.6%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",18,Aprobación de Agroquím. Productos Farmacológ. y Veterinarios,13460775,0.3%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",19,Fiscalización Agroalimentaria,326823686,6.2%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",20,Sanidad Animal,178643740,3.4%
4,Servicios económicos,5,Agricultura,52,"Ministerio de Agricultura, Ganadería y Pesca",22,Acciones para Contribuir a Asegurar la Sanidad y Calidad Agroalimentaria,0,0.0%
4,Servicios económicos,5,Agricultura,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",19,Recursos Hídricos,8545000,0.2%
4,Servicios económicos,5,Agricultura,91,Obligaciones a Cargo del Tesoro,94,Asistencia Financiera a Sectores Económicos,1075014000,20.4%
4,Servicios económicos,6,Industria,51,Ministerio de Industria,24,Fomento de la Pequeña y Mediana Empresa,171688533,16.2%
4,Servicios económicos,6,Industria,51,Ministerio de Industria,56,Formulación y Aplicación de Políticas para la Industria,45242643,4.3%
4,Servicios económicos,6,Industria,51,Ministerio de Industria,18,Protección de los Derechos de la Propiedad Industrial,63916836,6.0%
4,Servicios económicos,6,Industria,52,"Ministerio de Agricultura, Ganadería y Pesca",16,Control de Genuinidad de la Producción Vitivinícola,126326000,11.9%
4,Servicios económicos,6,Industria,56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",16,Producción y Comercialización de Bienes y Servicios - Dirección General de Fabricaciones Militares,332962000,31.4%
4,Servicios económicos,6,Industria,91,Obligaciones a Cargo del Tesoro,90,Atención estado de Emergencia por Inundaciones e Inclemencias Climáticas,673000,0.1%
4,Servicios económicos,6,Industria,91,Obligaciones a Cargo del Tesoro,94,Asistencia Financiera a Sectores Económicos,307651000,29.0%
4,Servicios económicos,6,Industria,91,Obligaciones a Cargo del Tesoro,95,Asistencia Financiera a Empresas Públicas y Ente Binacional,5000000,0.5%
4,Servicios económicos,6,Industria,91,Obligaciones a Cargo del Tesoro,99,Otras Asistencias Financieras,7959863,0.7%
4,Servicios económicos,7,"Comercio, turismo y otros servicios",50,Ministerio de Economía y Finanzas Públicas,30,Definición de Políticas de Comercio Interior,40854257,6.1%
4,Servicios económicos,7,"Comercio, turismo y otros servicios",50,Ministerio de Economía y Finanzas Públicas,31,Defensa de la Libre Competencia,10115132,1.5%
4,Servicios económicos,7,"Comercio, turismo y otros servicios",50,Ministerio de Economía y Finanzas Públicas,35,Defensa del Consumidor,16950821,2.5%
4,Servicios económicos,7,"Comercio, turismo y otros servicios",51,Ministerio de Industria,8,Actividades Comunes a los Programas 17 y 56,20240172,3.0%
4,Servicios económicos,7,"Comercio, turismo y otros servicios",51,Ministerio de Industria,17,Definición de Políticas de Comercio Exterior,39417803,5.9%
4,Servicios económicos,7,"Comercio, turismo y otros servicios",51,Ministerio de Industria,33,Análisis y Regul.de la Competencia Comercial Internacional,11345655,1.7%
4,Servicios económicos,7,"Comercio, turismo y otros servicios",53,Ministerio de Turismo,1,Actividades Centrales,96106708,14.4%
4,Servicios económicos,7,"Comercio, turismo y otros servicios",53,Ministerio de Turismo,16,Desarrollo y Promoción del Turismo Nacional,58957724,8.9%
4,Servicios económicos,7,"Comercio, turismo y otros servicios",53,Ministerio de Turismo,18,Prestaciones Turísticas,87539445,13.1%
4,Servicios económicos,7,"Comercio, turismo y otros servicios",53,Ministerio de Turismo,16,Promoción del Turismo Receptivo Internacional,95967509,14.4%
4,Servicios económicos,7,"Comercio, turismo y otros servicios",56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",25,Ejecución de Obras de Arquitectura,188472757,28.3%
4,Servicios económicos,8,Seguros y finanzas,50,Ministerio de Economía y Finanzas Públicas,16,Control y Fiscalización de la Oferta Pública - Comisión Nacional de Valores,35173275,16.6%
4,Servicios económicos,8,Seguros y finanzas,50,Ministerio de Economía y Finanzas Públicas,16,Control y Fiscalización de la Actividad Aseguradora y Reaseguradora,67196000,31.7%
4,Servicios económicos,8,Seguros y finanzas,91,Obligaciones a Cargo del Tesoro,96,Atención Servicios Financieros y Gastos Judiciales,6000000,2.8%
4,Servicios económicos,8,Seguros y finanzas,91,Obligaciones a Cargo del Tesoro,99,Otras Asistencias Financieras,103750000,48.9%
5,Deuda pública,1,Servicio de la deuda pública (intereses y gastos),45,Ministerio de Defensa,16,Elaboración y Actualización de Cartografía Básica Nacional,27400,0.0%
5,Deuda pública,1,Servicio de la deuda pública (intereses y gastos),51,Ministerio de Industria,16,Desarrollo y Competitividad Industrial,862000,0.0%
5,Deuda pública,1,Servicio de la deuda pública (intereses y gastos),52,"Ministerio de Agricultura, Ganadería y Pesca",1,Actividades Centrales,1000000,0.0%
5,Deuda pública,1,Servicio de la deuda pública (intereses y gastos),52,"Ministerio de Agricultura, Ganadería y Pesca",16,Control de Genuinidad de la Producción Vitivinícola,135000,0.0%
5,Deuda pública,1,Servicio de la deuda pública (intereses y gastos),52,"Ministerio de Agricultura, Ganadería y Pesca",1,Actividades Centrales,8314239,0.0%
5,Deuda pública,1,Servicio de la deuda pública (intereses y gastos),52,"Ministerio de Agricultura, Ganadería y Pesca",22,Acciones para Contribuir a Asegurar la Sanidad y Calidad Agroalimentaria,0,0.0%
5,Deuda pública,1,Servicio de la deuda pública (intereses y gastos),56,"Ministerio de Planificación Federal, Inversión Pública y Servicios",1,Actividades Centrales,80352000,0.2%
